op,shop,productId,name,size,qty,destination,basis
return,marathon-pe,p1777895620932,"Nike Air Force 1 Cream Black Grey",7,2,hub1,holds-stock
return,marathon-pe,p1777895620932,"Nike Air Force 1 Cream Black Grey",8,1,hub1,holds-stock
return,marathon-pe,p1777897007208,"Nike Air Force 1 Low Drake NOCTA Certified Lover Boy Palest Purple",6,1,hub1,holds-stock
return,marathon-pe,p1777897007208,"Nike Air Force 1 Low Drake NOCTA Certified Lover Boy Palest Purple",11,1,hub1,holds-stock
return,marathon-pe,p1777897113164,"Nike Air Zoom G.T. Cut 2 White",6,2,hub1,hubs-field
return,marathon-pe,p1777898570372,"Nike Air Force 1 Wild Green",8,2,hub1,holds-stock
return,marathon-pe,p1777899156322,"Nike Zoom Vomero Roam Brown",6,1,hub1,holds-stock
return,marathon-pe,p1777899156322,"Nike Zoom Vomero Roam Brown",7,1,hub1,holds-stock
return,marathon-pe,p1777899156322,"Nike Zoom Vomero Roam Brown",10,1,hub1,holds-stock
return,marathon-pe,p1777901502341,"Nike Mind 002 Grey",6,1,hub1,holds-stock
return,marathon-pe,p1777905466361,"Air Jordan 1 Low Zion Williamson Brown and Green",8,2,hub2,holds-stock
return,marathon-pe,p1777905846572,"Nike Air Max Plus White",7,1,hub1,holds-stock
return,marathon-pe,p1777906553465,"Nike Air Force 1 White Green Year Of The Snake",6,1,hub1,holds-stock
return,marathon-pe,p1777906656675,"Nike Zoom Vomero Roam Black White",3,1,hub1,holds-stock
return,marathon-pe,p1777906656675,"Nike Zoom Vomero Roam Black White",6,2,hub1,holds-stock
return,marathon-pe,p1777906656675,"Nike Zoom Vomero Roam Black White",9,1,hub1,holds-stock
return,marathon-pe,p1777966616806,"Nike Free Metcon Black White",6,2,hub1,holds-stock
return,marathon-pe,p1777966616806,"Nike Free Metcon Black White",8,1,hub1,holds-stock
return,marathon-pe,p1777967160850,"On Cloudzone Kith Grey",9,1,hub1,holds-stock
return,marathon-pe,p1777968034212,"Nike Air Max 90 Dia de los Muertos Orange",4,1,hub1,holds-stock
return,marathon-pe,p1777968034212,"Nike Air Max 90 Dia de los Muertos Orange",5,1,hub1,holds-stock
return,marathon-pe,p1777968964541,"Nike Air Max SNDR GORE-TEX Black",5,1,hub1,holds-stock
return,marathon-pe,p1777970045917,"Nike Waffle Racer Black White Volt",4,1,hub1,holds-stock
return,marathon-pe,p1777971508405,"On Cloud Horizon 2 Black",6,1,hub1,hubs-field
return,marathon-pe,p1777971838346,"On Cloudventure 2 Gunmetal",9,1,hub1,holds-stock
return,marathon-pe,p1777972826888,"On Cloudzone White Black",5,1,hub1,holds-stock
return,marathon-pe,p1777973172598,"On Cloudsurfer Black",6,1,hub1,holds-stock
return,marathon-pe,p1777974005928,"Adidas Montreal 76 Yellow Black",10,1,hub2,holds-stock
return,marathon-pe,p1777974019392,"On Cloudvista 2 White Navy Grey",7,1,hub1,holds-stock
return,marathon-pe,p1777974019392,"On Cloudvista 2 White Navy Grey",10,1,hub1,holds-stock
return,marathon-pe,p1777974689357,"Adidas x Wales Bonner Samba Blue Crocodile",7,1,hub2,holds-stock
return,marathon-pe,p1777974854269,"Adidas Samba Día De Muertos",7,1,hub2,holds-stock
return,marathon-pe,p1777975038083,"New Balance 1000 Gold",9,1,hub2,holds-stock
return,marathon-pe,p1777975415520,"New Balance 9060 Navy Beige",8,3,hub2,holds-stock
return,marathon-pe,p1777975578419,"New Balance 9060 Pink",8,1,hub2,holds-stock
return,marathon-pe,p1777975675096,"Nike Zoom Vomero 5 Silver and Blue",6,1,hub1,holds-stock
return,marathon-pe,p1777976417120,"Nike Cortez White Pink",3,1,hub1,holds-stock
return,marathon-pe,p1777976809912,"Lacoste L-Guard Breaker Black White",8,3,hub1,holds-stock
return,marathon-pe,p1777977771776,"Lacoste Audyssol Green",6,1,hub1,holds-stock
return,marathon-pe,p1777977771776,"Lacoste Audyssol Green",8,1,hub1,holds-stock
return,marathon-pe,p1777978758562,"Lacoste Audyssor Green Orange",10,3,hub1,holds-stock
return,marathon-pe,p1777978758562,"Lacoste Audyssor Green Orange",11,1,hub1,holds-stock
return,marathon-pe,p1777979256775,"Nike Air Force 1 '07 Essential Summit White",5_5,1,hub1,holds-stock
return,marathon-pe,p1777979312198,"Lacoste Carnaby White",8,1,hub1,holds-stock
return,marathon-pe,p1777979392699,"Lacoste Gripshot Black",8,2,hub1,holds-stock
return,marathon-pe,p1777979431089,"Lacoste Gripshot White",8,1,hub1,hubs-field
return,marathon-pe,p1777979582784,"Lacoste Court Cage White Yellow Green",7,1,hub1,holds-stock
return,marathon-pe,p1777979614146,"Lacoste Court Cage Green White",11,1,hub1,fallback-sneaker-hub
return,marathon-pe,p1777979684653,"Lacoste Court Cage Black White",6,1,hub1,holds-stock
return,marathon-pe,p1777979684653,"Lacoste Court Cage Black White",9,2,hub1,holds-stock
return,marathon-pe,p1777979694047,"Nike Air Force 1 White",4,48,hub1,holds-stock
return,marathon-pe,p1777980918979,"Lacoste Elite Active Off White",10,1,hub1,holds-stock
return,marathon-pe,p1777981900566,"Lacoste Powercourt White Blue",5_5,1,hub1,holds-stock
return,marathon-pe,p1777982149507,"Lacoste T Clip Boot Brown",11,1,hub1,holds-stock
return,marathon-pe,p1777982928329,"Alo Yoga Runner Grey",6,1,hub2,holds-stock
return,marathon-pe,p1777984163393,"New Balance 1000 Pink",6,1,hub2,holds-stock
return,marathon-pe,p1777986194127,"New Balance 9060 Cream Grey",6,1,hub2,holds-stock
return,marathon-pe,p1777986611409,"New Balance 9060 Blue Brown",6,1,hub2,holds-stock
return,marathon-pe,p1777986980778,"New Balance 9060 Grey Green",8,1,hub2,holds-stock
return,marathon-pe,p1777988357431,"Lacoste Slip On Green Tweed",8,1,hub1,holds-stock
return,marathon-pe,p1777990658712,"Timberland Premium 6-Inch Wheat",11,1,hub1,hubs-field
return,marathon-pe,p1777990737175,"Timberland Premium 6-Inch Green",11,1,hub1,hubs-field
return,marathon-pe,p1777990976026,"Timberland 6-Inch Premium Waterproof Boot Grey",10,1,hub1,holds-stock
return,marathon-pe,p1777991143468,"Nike Air Force 1 Boot Shell Green",8,1,hub1,holds-stock
return,marathon-pe,p1777991362840,"Nike ACG Hiking Boot Black Grey",10,1,hub1,holds-stock
return,marathon-pe,p1777992020231,"Nike Court Legacy White",7,1,hub1,holds-stock
return,marathon-pe,p1778140177641,"Adidas ADI2000 White Grey",3,1,hub2,holds-stock
return,marathon-pe,p1778140364028,"Air Jordan 1 Low Jade Smoke",7,1,hub2,holds-stock
